Category,Feature Name,Description,Linked Route(s),Component,Tags
Health,Meds & Vitals Tracker,"Log meds, dosages, vitals; refill alerts and trends.","/health/meds, /health/vitals","MedsTracker,VitalsTracker","health,tracking"
Health,Hydration + Sodium,2–3L fluids + 4000mg sodium targets with hourly reminders.,/health/hydration,HydrationSodium,"hydration,sodium,reminders"
Health,Body Weather,Quick daily pain/energy/mood notes; weekly trend graphs.,/health/body-weather,BodyWeather,"journaling,tracking"
Health,Physical Therapy,Approved PT routines with reps/sets and safety notes.,/health/pt,PhysicalTherapy,"pt,exercise"
Health,Emergency Suite,"Wallpaper, wallet/support cards, quick-dial & freeze protocol.",/health/emergency,EmergencySuite,"emergency,crisis"
Health,Medical File Vault,"Store labs, notes, insurance; tag by condition.",/health,HealthHome,"files,docs"
Support & Relationships,Support-Me Handbooks,"Personalized guides for partners, family, friends, community, care staff.",/support/handbooks,SupportHandbooks,"handbook,boundaries"
Support & Relationships,Quick-Glance Guide,Top-10 must-knows per supporter for fast reference.,/support/quick-glance,QuickGlanceGuide,"summary,emergency"
Support & Relationships,Partner Communication,Morning/midday/evening scripts + weekly review rhythm.,/relationships/partners,PartnerComms,"partners,scripts"
Support & Relationships,Relationship Balance,"Shared check-ins, care-load balance, repair rituals.",/support,SupportNetwork,"relationships,balance"
Daily,Daily Planner,Adaptive planner with energy-based modes and rotating tasks.,/daily,DailyPlanner,"adhd,autism,planner"
Daily,Household Rotation,Low-pressure cleaning rotation with carry-forward tasks.,/daily/household,HouseholdRotation,"home,tasks"
Daily,Pet Care,"Dog/cats feeding, meds, litter; shared with partners.",/daily/pets,PetCare,pets
Daily,Meals & Nourish,"No-leftovers meal ideas, sodium-aware, grocery sync.",/meals,MealsNourish,"meals,shopping"
Finance,Friendly Financial Advisor,"Budget, bills, 'where the money goes' visualization.",/money,FinanceAdvisor,"budget,bills"
Finance,Passive-Income Library,"1000+ ideas filtered by energy, cost, and ROI.",/money/passive,PassiveIncomeLibrary,"income,library"
Creative & Learning,Idea Libraries,"Seeded libraries for art, sewing, hoodoo, UI, learning, etc.",/create/ideas,IdeaLibraries,"ideas,library"
Creative & Learning,Entertainment Linked Hub,Movies/TV/comics/games with mood tags and sources.,/entertainment,EntertainmentLinked,"media,library"
Games,Board‑Game Hub,Solo/co‑op/DM‑less play with remote options.,/boardgames,BoardgameHub,"boardgames,remote"
Games,D&D Hub,"Solo prompts, tools, and integration with D&D Beyond/Tabletop Sim.",/dnd,DnDHub,"dnd,solo"
Community & Activism,Activism Expansion Model,"500 activists, 300 micro‑actions; track orgs and impact.",/community/activism,ActivismModel,"activism,impact"
Community & Activism,Event Finder,Accessible event suggestions by energy/cost/topic.,/community/events,EventFinder,"events,accessibility"
AI & Automation,ChronoMuse (AI Twin),"3D time‑travel companion, dress‑up, scene editor, taste memory.",/ai/chronomuse,ChronoMuse,"ai,avatar,3d"
AI & Automation,Automations,"Water reminders, Spotify routine, system checkers.",/settings,DashboardHome,"automation,reminders"
Design & Aesthetic,Wardrobe & Outfit Planner,Catalog clothes; suggest 'Sensory Safe Now' outfits; AI dress‑up link.,/wardrobe,WardrobePlanner,"wardrobe,outfits"
Design & Aesthetic,Spotify Routine,Start 'Slumber with the Piano' at 10:30PM (Dimple → shuffle).,/settings/spotify,SpotifyAutomation,"spotify,sleep"
Design & Aesthetic,Themes,"Gothic dark, Clean Witchy Minimal, Grayscale print.",/settings,DashboardHome,"theme,ui"
Advocacy & Education,Advocacy Coach,Tone‑guided scripts for medical/family/systems/community.,/advocacy/scripts,AdvocacyCoach,"advocacy,scripts"
Advocacy & Education,Glossary & Knowledge Base,Health/neurodivergence/gender/relationship definitions.,/glossary,GlossaryKB,"glossary,education"
App Infrastructure,Routes & Schemas,"All app routes, collections, and seeds tied to modules.",/,DashboardHome,"dev,schema"
App Infrastructure,Privacy Center,"E2E encryption, emergency-subset sharing controls.",/settings/privacy,PrivacyCenter,"privacy,security"
Mental Health & Wellness,Mental Health Toolkit,"Grounding, breathing sync, sensory first‑aid.",/daily,DailyPlanner,"mental‑health,grounding"
Mental Health & Wellness,Journaling & Reflection,"Feelings forecast, gratitude jar, symptom ↔ emotion links.",/health/body-weather,BodyWeather,"journaling,reflection"
Mental Health & Wellness,Sleep System,"Auto-dim routines, playlist start, gentle wake.",/settings/spotify,SpotifyAutomation,"sleep,routine"
Safety & Expansion,Care‑Team Dashboard,Roles for Mom/Quincy/Da’Veon; hand‑offs and availability.,/support,SupportNetwork,"team,care"
Safety & Expansion,Access & Advocacy Planner,Event/home access checklists; templates.,/community/activism,ActivismModel,"accessibility,templates"
Safety & Expansion,Crisis Protocols,"Who to call, freeze steps, printable packs.",/health/emergency,EmergencySuite,"crisis,protocols"
